score,cume
100,0
99,0
98,0
97,0
96,0
95,0.01
94,0.05
93,0.18
92,0.3
91,0.43
90,0.66
89,1.01
88,1.51
87,2.04
86,2.67
85,3.52
84,4.37
83,5.37
82,6.36
81,7.51
80,8.72
79,10.07
78,11.38
77,12.96
76,14.36
75,15.84
74,17.38
73,19.05
72,20.67
71,22.25
70,23.96
69,25.75
68,27.49
67,29.2
66,30.91
65,32.61
64,34.31
63,36.05
62,37.74
61,39.53
60,41.19
59,42.88
58,44.5
57,46.3
56,48.09
55,49.94
54,51.84
53,53.71
52,55.53
51,57.34
50,59.04
49,61.02
48,62.93
47,64.84
46,66.69
45,68.49
44,70.31
43,72.02
42,73.86
41,75.43
40,77.31
39,78.91
38,80.54
37,82.01
36,83.44
35,84.78
34,86.29
33,87.62
32,88.78
31,89.9
30,91.01
29,92.01
28,92.93
27,93.87
26,94.64
25,95.36
24,96.14
23,96.76
22,97.36
21,97.79
20,98.17
19,98.56
18,98.89
17,99.17
16,99.38
15,99.59
14,99.75
13,99.82
12,99.89
11,99.94
10,99.96
9,99.98
8,99.99
7,100
6,100
5,100
4,100
3,100
2,100
1,100
0,100
score,cume
100,0
99,0
98,0.02
97,0.02
96,0.04
95,0.1
94,0.2
93,0.31
92,0.46
91,0.67
90,0.96
89,1.32
88,1.71
87,2.19
86,2.73
85,3.39
84,4.17
83,4.93
82,5.81
81,6.69
80,7.52
79,8.4
78,9.29
77,10.4
76,11.56
75,12.75
74,14.07
73,15.25
72,16.51
71,17.9
70,19.24
69,20.59
68,22.28
67,23.83
66,25.4
65,27.03
64,28.56
63,30.2
62,31.82
61,33.55
60,35.37
59,36.95
58,38.75
57,40.52
56,42.45
55,44.38
54,46.16
53,47.85
52,49.63
51,51.38
50,53.2
49,54.97
48,56.78
47,58.5
46,60.28
45,61.95
44,63.61
43,65.3
42,67.11
41,68.84
40,70.61
39,72.47
38,74.34
37,76.07
36,77.8
35,79.49
34,81.14
33,82.82
32,84.33
31,85.92
30,87.48
