biology,cume,0
100,0,99
99,0,99
98,0,99
97,0.01,97.9998
96,0.04,96.9992
95,0.12,97
94,0.25,95.9996
93,0.46,94.9988
92,0.79,93.9977
91,1.4,92.9978
90,2.14,91.997
89,2.97,90.995
88,4.11,89.9937
87,5.53,88.9943
86,7.07,87.995
85,8.35,86.9937
84,10.01,85.9961
83,11.88,84.9999
82,13.75,82.9813
81,15.63,81.9857
80,17.51,80.9914
79,19.37,79.9967
78,21.29,77.9777
77,23.22,76.9863
76,24.97,75.9934
75,26.78,73.9727
74,28.47,72.9803
73,30.25,71.9901
72,31.88,70.9987
71,33.6,68.9732
70,35.27,67.9856
69,36.91,67
68,38.55,64.9769
67,39.94,63.9871
66,41.45,61.9559
65,43.08,60.9844
64,44.61,58.9342
63,46.01,57.9516
62,47.34,56.9671
61,49.01,54.8671
60,50.58,53.9059
59,52.13,35.5998
58,53.63,51.1891
57,55.08,49.1477
56,56.53,48.0611
55,58.11,46.0757
54,59.64,45.0306
53,61,44.013
52,62.31,42.0492
51,63.56,41.0392
50,64.97,40.02
49,66.44,39.0034
48,67.88,37.033
47,69.36,36.0212
46,70.81,35.0091
45,72.28,34.0005
44,73.5,32.029
43,74.83,31.0261
42,76.25,30.0206
41,77.63,29.0173
40,78.97,28.0148
39,80.23,27.0151
38,81.44,26.015
37,82.78,25.0139
36,84.14,24.0127
35,85.52,23.012
34,86.55,22.0173
33,87.75,21.0188
32,88.78,21.0034
31,89.87,20.0068
30,90.81,19.0138
29,91.9,18.0167
28,92.75,18.0053
27,93.76,17.0085
26,94.7,16.0099
25,95.42,16.0008
24,96.11,15.0053
23,96.81,14.008
22,97.42,14.0006
21,97.87,13.0044
20,98.35,12.0054
19,98.72,12.001
18,98.99,11.0026
17,99.22,11
16,99.44,10.0008
15,99.62,9.00145
14,99.77,8.0011
13,99.85,8.00022
12,99.89,7.00044
11,99.94,6.00022
10,99.95,6.00011
9,99.95,6.00011
8,99.96,6
7,99.96,6
6,99.97,5.00011
5,99.97,5.00011
4,99.97,5.00011
3,99.97,5.00011
2,99.97,5.00011
1,99.97,5.00011
0,100,0
chemistry,cume,0
100,0.01,98.6667
99,0.02,98.3333
98,0.05,97.7778
97,0.12,97
96,0.16,96.7647
95,0.3,95.9643
94,0.44,95.4643
93,0.63,94.8636
92,0.92,94.2045
91,1.18,93.7119
90,1.64,92.9506
89,2.2,92.2593
88,2.77,91.64
87,3.51,90.9194
86,4.23,90.3387
85,5.05,89.7059
84,6.18,88.8844
83,7.32,88.1088
82,8.45,87.292
81,9.72,86.4041
80,10.97,85.5823
79,12.23,84.7848
78,13.74,83.828
77,15.22,82.8831
76,16.69,81.9257
75,18.09,80.9801
74,19.59,79.9865
73,21.08,78.98
72,22.57,77.9858
71,24.2,76.8222
70,25.68,75.7357
69,27.15,74.6741
68,28.49,73.6667
67,29.95,72.5455
66,31.3,71.5
65,32.67,70.4394
64,34.09,69.3538
63,35.48,68.225
62,36.91,67
61,38.25,65.807
60,39.67,64.5413
59,40.91,63.4144
58,42.17,62.1919
57,43.46,60.9143
56,44.8,59.6667
55,46.1,58.4857
54,47.2,57.4486
53,48.29,56.4649
52,49.53,55.297
51,50.83,54.115
50,52.03,52.9583
49,53.29,51.6792
48,54.48,50.5104
47,55.73,49.2323
46,56.91,48.1038
45,57.9,47.1456
44,59.09,45.9333
43,60.35,44.7544
42,61.52,43.6837
41,62.62,42.6161
40,63.68,41.6726
39,64.93,40.5196
38,66,39.4953
37,67.11,38.4867
36,68.38,37.4194
35,69.61,36.3879
34,70.8,35.3084
33,71.96,34.2906
32,73.36,33.1017
31,74.61,32.0813
30,75.9,31.063
29,77.18,30.0164
28,78.51,28.968
27,79.79,27.9466
26,81.2,26.8629
25,82.71,25.6641
24,84.11,24.5985
23,85.55,23.5255
22,86.91,22.5429
21,88.17,21.6269
20,89.7,20.4812
19,91.18,19.4247
18,92.45,18.5149
17,93.67,17.5827
16,94.76,16.6729
15,95.78,15.717
14,96.72,14.8065
13,97.46,14.0108
12,97.97,13.3506
11,98.57,12.421
10,99.12,11.2439
9,99.33,10.6207
8,99.56,9.79168
7,99.74,9.04168
6,99.84,8.25005
5,99.9,7.5
4,99.95,6.33342
3,99.97,5.5
2,99.98,5
1,99.98,5
0,100,0
chinese,cume,0
100,0,99
99,0,99
98,0.01,98.6667
97,0.01,98.6667
96,0.02,98.3333
95,0.02,98.3333
94,0.06,97.6667
93,0.08,97.4444
92,0.18,96.6471
91,0.26,96.1765
90,0.44,95.4643
89,0.66,94.7955
88,1.01,94
87,1.41,93.322
86,1.94,92.5802
85,2.52,91.89
84,3.29,91.12
83,3.96,90.5564
82,5.25,89.5588
81,6.19,88.8775
80,7.92,87.6788
79,8.89,86.9726
78,10.96,85.5886
77,12.29,84.7468
76,14.69,83.2229
75,16.09,82.3182
74,18.72,80.5629
73,20.41,79.4324
72,23.14,77.5816
71,24.9,76.3037
70,27.75,74.2296
69,29.74,72.7045
68,32.7,70.4167
67,34.62,68.9417
66,37.75,66.25
65,39.8,64.422
64,42.92,61.4455
63,44.92,59.5614
62,47.99,56.7281
61,49.98,54.8673
60,52.89,52.0625
59,54.88,50.0938
58,57.68,47.3592
57,59.67,45.381
56,62.3,42.9018
55,64.08,41.3186
54,66.96,38.6195
53,68.69,37.1694
52,71.15,34.9829
51,72.72,33.6441
50,75.01,31.7638
49,76.49,30.582
48,78.74,28.784
47,80.13,27.687
46,82.14,26.1048
45,83.39,25.145
44,85.26,23.7372
43,86.51,22.8286
42,88.1,21.6791
41,89.15,20.8947
40,90.47,19.911
39,91.3,19.3425
38,92.48,18.4925
37,93.17,17.9764
36,94.2,17.1654
35,94.84,16.5981
34,95.72,15.7736
33,96.27,15.2547
32,96.92,14.5914
31,97.3,14.1828
30,97.79,13.5844
29,98.06,13.2338
28,98.44,12.6491
27,98.7,12.193
26,99.01,11.5122
25,99.19,11.0732
24,99.41,10.3448
23,99.5,10.0345
22,99.65,9.41666
21,99.71,9.16667
20,99.78,8.75002
19,99.81,8.50003
18,99.87,8
17,99.91,7.33329
16,99.93,7
15,99.94,6.66658
14,99.95,6.33342
13,99.96,6
12,99.97,5.5
11,99.97,5.5
10,99.98,5
9,99.98,5
8,99.99,2
7,99.99,2
6,99.99,2
5,99.99,2
4,99.99,2
3,99.99,2
2,99.99,2
1,99.99,2
0,100,0
geography,cume,0
100,0,99
99,0,99
98,0.03,98
97,0.03,98
96,0.14,96.8824
95,0.14,96.8824
94,0.44,95.4643
93,0.44,95.4643
92,1.05,93.9322
91,1.05,93.9322
90,2.04,92.4568
89,2.04,92.4568
88,3.78,90.7016
87,3.78,90.7016
86,5.84,89.125
85,5.84,89.125
84,8.45,87.292
83,8.45,87.292
82,11.6,85.1835
81,11.6,85.1835
80,15.21,82.8896
79,15.21,82.8896
78,19.06,80.3377
77,19.06,80.3377
76,23.15,77.5745
75,23.15,77.5745
74,27.59,74.3481
73,27.59,74.3481
72,32.06,70.9015
71,32.06,70.9015
70,36.79,67.1034
69,36.79,67.1034
68,41.08,63.2613
67,41.08,63.2613
66,45.21,59.307
65,45.21,59.307
64,49.77,55.0594
63,49.77,55.0594
62,53.86,51.1415
61,53.86,51.1415
60,58.26,46.7835
59,58.26,46.7835
58,62.21,42.9821
57,62.21,42.9821
56,66.3,39.215
55,66.3,39.215
54,70.29,35.785
53,70.29,35.785
52,74.23,32.3902
51,74.23,32.3902
50,77.7,29.6063
49,77.7,29.6063
48,80.98,27.0382
47,80.98,27.0382
46,84,24.6818
45,84,24.6818
44,86.69,22.7
43,86.69,22.7
42,89.15,20.8947
41,89.15,20.8947
40,91.36,19.3014
39,91.36,19.3014
38,93.2,17.9528
37,93.2,17.9528
36,94.82,16.6168
35,94.82,16.6168
34,96.06,15.4528
33,96.06,15.4528
32,97.09,14.4086
31,97.09,14.4086
30,97.9,13.4416
29,97.9,13.4416
28,98.5,12.5439
27,98.5,12.5439
26,98.99,11.561
25,98.99,11.561
24,99.28,10.7931
23,99.28,10.7931
22,99.52,9.95836
21,99.52,9.95836
20,99.73,9.08332
19,99.73,9.08332
18,99.87,8
17,99.87,8
16,99.94,6.66658
15,99.94,6.66658
14,99.97,5.5
13,99.97,5.5
12,99.98,5
11,99.98,5
10,99.99,2
9,99.99,2
8,99.99,2
7,99.99,2
6,99.99,2
5,99.99,2
4,99.99,2
3,99.99,2
2,99.99,2
1,99.99,2
0,100,0
history,cume,0
100,0,99
99,0.02,98.3333
98,0.12,97
97,0.21,96.4706
96,0.37,95.7143
95,0.71,94.6818
94,1.26,93.5763
93,1.94,92.5802
92,2.69,91.72
91,3.81,90.6774
90,5.11,89.6618
89,6.56,88.6258
88,8.23,87.4526
87,10.01,86.2055
86,12.01,84.924
85,14.24,83.5096
84,16.54,82.026
83,18.96,80.404
82,21.6,78.6333
81,24.21,76.8148
80,26.78,74.9482
79,29.57,72.8333
78,32.22,70.7803
77,34.84,68.7583
76,37.4,66.5625
75,39.89,64.3394
74,42.37,61.9901
