university,subject,year,chinese,english,mathA,mathB,physics,chemistry,biology,history,geography,citizen,average
世新大學,中國文學系,108,2,1,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,62.2
世新大學,企業管理學系,108,2,1,NULL,NULL,NULL,NULL,NULL,1.75,NULL,1.75,64.1892
世新大學,傳播管理學系,108,2,2,NULL,1,NULL,NULL,NULL,2,NULL,1,59.4375
世新大學,公共關係暨廣告學系,108,2,2,NULL,NULL,NULL,NULL,NULL,2,NULL,1,64.4857
世新大學,口語傳播學系,108,2,2,NULL,NULL,NULL,NULL,NULL,2,NULL,1,63.4
世新大學,圖文傳播暨數位出版學系,108,2,2,NULL,1,NULL,NULL,NULL,1,NULL,1,59.0286
世新大學,廣播電視電影學系廣播組,108,2,2,NULL,NULL,NULL,NULL,NULL,1,1,1,70.8
世新大學,廣播電視電影學系電影組,108,2,2,NULL,NULL,NULL,NULL,NULL,1,1,1,71.5
世新大學,廣播電視電影學系電視組,108,2,2,NULL,NULL,NULL,NULL,NULL,1,1,1,71.1143
世新大學,數位多媒體設計系動畫設計組,108,2,2,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,59.18
世新大學,數位多媒體設計系遊戲設計組,108,2,1,NULL,NULL,NULL,NULL,NULL,2,1,1,60.8
世新大學,新聞學系,108,2,2,NULL,NULL,NULL,NULL,NULL,2,NULL,1,66.7571
世新大學,日本語文學系,108,2,2,NULL,NULL,NULL,NULL,NULL,1,2,NULL,58.5857
世新大學,法律學系,108,2,1,NULL,1,NULL,NULL,NULL,1,NULL,1,68.675
世新大學,社會心理學系,108,1.5,1.5,NULL,1.5,NULL,NULL,NULL,NULL,NULL,1,56.06
世新大學,經濟學系,108,1.75,2,NULL,2,NULL,NULL,NULL,1,1,NULL,53.1613
世新大學,英語學系,108,2,2,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,57.64
世新大學,行政管理學系,108,2,1.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.75,63.901
世新大學,觀光學系餐旅經營管理組,108,1,2,NULL,1,NULL,NULL,NULL,2,2,NULL,53.175
世新大學,觀光系旅遊暨休閒事業管理組,108,1,2,NULL,1,NULL,NULL,NULL,2,2,NULL,52.025
世新大學,觀光系觀光規劃暨資源管理組,108,1,2,NULL,1,NULL,NULL,NULL,2,2,NULL,51.2375
世新大學,財務金融學系,108,1,1,NULL,1,NULL,NULL,NULL,1,1,NULL,55.814
世新大學,資訊傳播學系,108,2,1,NULL,1,NULL,NULL,NULL,NULL,NULL,2,67.4417
世新大學,資訊管理學系網路科技組,108,1.75,2,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,53.5826
世新大學,資訊管理學系資訊科技組,108,1.75,2,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,53.5896
世新大學,資訊管理學系資訊管理組,108,1.75,2,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,54.4
中原大學,企業管理學系工商管理組,108,2,2,NULL,1.75,NULL,NULL,NULL,1,1,NULL,65.2
中原大學,企業管理學系服務業管理組,108,2,2,NULL,1.75,NULL,NULL,NULL,1,1,NULL,63.8645
中原大學,企業管理學系高科技業管理組,108,1.75,2,NULL,2,NULL,NULL,NULL,1,1,NULL,64.6194
中原大學,化學工程學系材料工程組,108,1,1.5,1.5,NULL,1.5,1,NULL,NULL,NULL,NULL,58.92
中原大學,化學工程學系生化工程組,108,1,1.5,1.5,NULL,1.5,1,NULL,NULL,NULL,NULL,57.0123
中原大學,化學工程學系綠能製程組,108,1,1.5,1.5,NULL,1.5,1,NULL,NULL,NULL,NULL,55.7738
中原大學,化學系化學組,108,NULL,1,1.5,NULL,1.5,2,NULL,NULL,NULL,NULL,56.7917
中原大學,化學系材料化學組,108,NULL,1,1.5,NULL,1.5,2,NULL,NULL,NULL,NULL,55.1167
中原大學,商學院不分系,108,1.75,2,NULL,2,NULL,NULL,NULL,1,1,NULL,61.8323
中原大學,商業設計學系商業設計組,108,2,2,NULL,1,NULL,NULL,NULL,1.5,1,NULL,63.4933
中原大學,商業設計學系產品設計組,108,2,2,1,NULL,1,1,NULL,NULL,NULL,NULL,55.0143
中原大學,國際經營與貿易學系,108,1.75,2,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,70.9044
