score,cume
100,0
99,0
98,0
97,0
96,0
95,0
94,0
93,0.02
92,0.02
91,0.05
90,0.13
89,0.21
88,0.36
87,0.58
86,0.94
85,1.34
84,1.99
83,2.86
82,3.69
81,4.72
80,5.88
79,7.18
78,8.5
77,9.96
76,11.61
75,13.21
74,14.8
73,16.7
72,18.65
71,20.37
70,22.27
69,24.03
68,25.8
67,27.58
66,29.62
65,31.32
64,32.98
63,34.79
62,36.36
61,38.08
60,39.8
59,41.52
58,43.18
57,44.81
56,46.45
55,48.03
54,49.69
53,51.34
52,52.82
51,54.45
50,56.4
49,58.23
48,59.81
47,61.62
46,63.46
45,65.27
44,66.96
43,68.41
42,70.18
41,71.79
40,73.5
39,75.22
38,76.74
37,78.38
36,79.98
35,81.5
34,83.09
33,84.51
32,85.98
31,87.31
30,88.57
29,89.9
28,91.08
27,92.2
26,93.18
25,94.09
24,94.9
23,95.58
22,96.35
21,96.94
20,97.5
19,98.08
18,98.56
17,98.86
16,99.23
15,99.48
14,99.68
13,99.76
12,99.85
11,99.93
10,99.95
9,99.96
8,99.96
7,99.99
6,99.99
5,99.99
4,99.99
3,99.99
2,99.99
1,99.99
0,100
score,cume
100,0.16
99,0.23
98,0.63
97,0.9
96,1.58
95,2.12
94,2.88
93,3.81
92,4.75
91,5.78
90,6.92
89,8.29
88,9.5
87,10.79
86,12.12
85,13.52
84,14.85
83,16.16
82,17.44
81,19
80,20.49
79,21.79
78,23.16
77,24.61
76,25.88
75,27.19
74,28.64
73,29.98
72,31.43
71,32.77
70,34.08
69,35.45
68,36.69
67,38.09
66,39.42
65,40.75
64,42.13
63,43.41
62,44.65
61,45.99
60,47.31
59,48.51
58,49.75
57,50.92
56,52.17
55,53.28
54,54.61
53,55.74
52,56.9
51,58.05
50,59.13
49,60.3
48,61.43
47,62.63
46,63.78
45,64.83
44,66.02
43,67.11
42,68.23
41,69.29
40,70.46
39,71.59
38,72.66
37,73.94
36,75.3
35,76.5
34,77.71
33,78.92
32,80.24
