Column1	Column2	Column3	欄1
university	subject	year	chinese
國立臺灣大學	醫學系(自費)	108	NULL
國立陽明大學	醫學系(自費)	108	NULL
國立臺灣大學	牙醫學系	108	NULL
臺北醫學大學	醫學系(自費)	108	NULL
國立成功大學	醫學系(自費)	108	NULL
國立臺灣大學	法律學系財經法學組	108	1
長庚大學	醫學系(自費)	108	NULL
國立臺灣大學	醫學系(公費)	108	NULL
國立陽明大學	牙醫學系	108	NULL
馬偕醫學院	醫學系	108	NULL
中國醫藥大學	醫學系	108	NULL
國立臺灣大學	法律學系司法組	108	1
輔仁大學	醫學系(自費)	108	NULL
高雄醫學大學	醫學系(自費)	108	NULL
臺北醫學大學	牙醫學系	108	NULL
國立成功大學	牙醫學系	108	NULL
臺北醫學大學	醫學系(公費)	108	NULL
國立臺灣大學	歷史學系	108	1
國立臺灣大學	法律學系法學組	108	1
中山醫學大學	醫學系	108	NULL
長庚大學	中醫學系	108	1
慈濟大學	醫學系(自費)	108	NULL
國立臺灣大學	電機工程學系	108	1
中國醫藥大學	牙醫學系	108	NULL
國立臺灣大學	資訊工程學系	108	
國立陽明大學	醫學系(公費)	108	NULL
高雄醫學大學	醫學系(公費)	108	NULL
高雄醫學大學	牙醫學系	108	NULL
國立成功大學	醫學系(公費)	108	NULL
長庚大學	醫學系(公費)	108	NULL
慈濟大學	醫學系(公費)	108	NULL
國立臺灣師範大學	教育學系(公費)-臺東縣	108	1.5
國立交通大學	電機工程學系甲組	108	1
國立清華大學	電機工程學系甲組	108	1
國立臺灣大學	材料科學與工程學系	108	1
國立陽明大學	藥學系	108	NULL
國立清華大學	電機資訊學院學士班	108	1
國立交通大學	資訊工程學系甲組	108	
國立清華大學	資訊工程系甲組(電子資訊組)	108	
輔仁大學	醫學系(公費)	108	NULL
國立臺灣大學	地理環境資源學系B組	108	1
中國醫藥大學	中醫學系甲組	108	1
國立臺灣大學	國際企業學系	108	1
國立臺灣大學	物理治療學系	108	NULL
國立臺北教育大學	自然科學教育系(公費)-臺中	108	1.25
國立臺灣大學	政治學系國際關係組	108	1.25
國立臺灣大學	社會學系	108	1
國立臺灣大學	藥學系	108	NULL
國立臺灣大學	財務金融學系	108	1
國立臺灣大學	物理學系	108	1
國立臺灣大學	資訊管理學系	108	1
中山醫學大學	牙醫學系	108	1
義守大學	醫學系(公費生)	108	NULL
國立成功大學	藥學系	108	1
國立臺灣大學	工商管理學系企業管理組	108	1
中國醫藥大學	中醫學系乙組	108	1
國立清華大學	資訊工程系丙組(人工智慧組)	108	
國立臺灣大學	會計學系	108	1.25
臺北醫學大學	藥學系臨床藥學組	108	NULL
國立臺灣大學	人類學系	108	1
國立臺灣大學	獸醫學系	108	1
國立清華大學	電機工程學系乙組	108	1
國立交通大學	材料科學與工程學系甲組	108	1
國立臺灣大學	政治學系公共行政組	108	1.25
國立交通大學	資訊工程學系乙組	108	
國立臺灣大學	生化科技學系	108	NULL
國立臺灣大學	經濟學系	108	1
國立清華大學	資訊工程系乙組(資訊工程組)	108	
國立臺灣大學	化學工程學系	108	1
國立臺灣大學	政治學系政治理論組	108	1.25
高雄醫學大學	藥學系	108	1
臺北醫學大學	藥學系藥學組	108	NULL
國立臺灣大學	機械工程學系	108	1
國立交通大學	資管與財金學系財務金融組	108	1
國立清華大學	材料科學工程學系甲組	108	1
國立臺灣大學	醫學工程學系	108	1
國立清華大學	計量財務金融學系乙組	108	1
國立臺灣大學	化學系	108	1
國立臺中教育大學	資訊工程學系(公費)-臺南市	108	
國立臺灣師範大學	科技與人資發展系(公費)臺南	108	1
國立清華大學	材料科學工程學系乙組	108	1
國立清華大學	工學院學士班	108	1
國立臺灣大學	哲學系	108	1
