biology,cume,0
100,0,99
99,0,99
98,0,99
97,0.01,98
96,0.04,94.5
95,0.12,92.6
94,0.25,91.125
93,0.46,89.9091
92,0.79,88.6286
91,1.4,87.025
90,2.14,85.6552
89,2.97,84.4156
88,4.11,82.8837
87,5.53,81.7021
86,7.07,80.4913
85,8.35,79.5567
84,10.01,78.4589
83,11.88,77.3083
82,13.75,76.3917
81,15.63,75.3286
80,17.51,74.4601
79,19.37,73.6154
78,21.29,72.6777
77,23.22,71.9545
76,24.97,70.9754
75,26.78,70.3403
74,28.47,69.6382
73,30.25,68.8277
72,31.88,68.277
71,33.6,67.5312
70,35.27,66.7923
69,36.91,66.2684
68,38.55,65.6098
67,39.94,64.9551
66,41.45,64.4712
65,43.08,63.92
64,44.61,63.155
63,46.01,62.645
62,47.34,62.2117
61,49.01,61.4874
60,50.58,60.7938
59,52.13,60.2612
58,53.63,59.6281
57,55.08,58.9286
56,56.53,58.4107
55,58.11,57.7839
54,59.64,57.0151
53,61,56.4943
52,62.31,55.9944
51,63.56,55.2921
50,64.97,54.691
49,66.44,54.1806
48,67.88,53.4682
47,69.36,52.7276
46,70.81,52.1382
45,72.28,51.2803
44,73.5,50.6594
43,74.83,50.0786
42,76.25,49.1622
41,77.63,48.4933
40,78.97,47.8345
39,80.23,46.9502
38,81.44,46.3483
37,82.78,45.488
36,84.14,44.5989
35,85.52,43.792
34,86.55,42.9748
33,87.75,42.2201
32,88.78,41.3524
31,89.87,40.4545
30,90.81,39.5904
29,91.9,38.4915
28,92.75,37.6087
27,93.76,36.4272
26,94.7,35.2188
25,95.42,34.3409
24,96.11,33.2909
23,96.81,32.1692
22,97.42,30.7551
21,97.87,29.7037
20,98.35,28.2368
19,98.72,26.9355
18,98.99,26.0645
17,99.22,24.8636
16,99.44,23.6667
15,99.62,22.2
14,99.77,20.1429
13,99.85,18.3334
12,99.89,17.5001
11,99.94,15
10,99.95,14
9,99.95,14
8,99.96,13
7,99.96,13
6,99.97,12
5,99.97,12
4,99.97,12
3,99.97,12
2,99.97,12
1,99.97,12
0,100,0
chemistry,cume,0
100,0.01,98
99,0.02,96
98,0.05,94.25
97,0.12,92.6
96,0.16,92.2
95,0.3,90.7778
94,0.44,90
93,0.63,89.1364
92,0.92,88.2571
91,1.18,87.575
90,1.64,86.566
89,2.2,85.5517
88,2.77,84.6753
87,3.51,83.6716
86,4.23,82.7907
85,5.05,82.155
84,6.18,81.0106
83,7.32,80.3468
82,8.45,79.4536
81,9.72,78.599
80,10.97,77.9925
79,12.23,77.0451
78,13.74,76.3958
77,15.22,75.6214
76,16.69,74.7719
75,18.09,74.2395
74,19.59,73.4852
73,21.08,72.7546
72,22.57,72.2088
71,24.2,71.3977
70,25.68,70.7263
69,27.15,70.2105
68,28.49,69.6281
67,29.95,68.9291
66,31.3,68.473
65,32.67,68.0101
64,34.09,67.276
63,35.48,66.7252
62,36.91,66.2684
61,38.25,65.7561
60,39.67,65.0634
59,40.91,64.6442
58,42.17,64.2404
57,43.46,63.73
56,44.8,63.06
55,46.1,62.6156
54,47.2,62.2573
53,48.29,61.8492
52,49.53,61.2261
51,50.83,60.7079
50,52.03,60.2955
49,53.29,59.799
48,54.48,59.201
47,55.73,58.6964
46,56.91,58.275
45,57.9,57.8894
44,59.09,57.2915
43,60.35,56.7414
42,61.52,56.2966
41,62.62,55.8202
40,63.68,55.2247
39,64.93,54.7049
38,66,54.3333
37,67.11,53.9133
36,68.38,53.1792
35,69.61,52.626
34,70.8,52.1423
33,71.96,51.4841
32,73.36,50.7205
31,74.61,50.1747
30,75.9,49.3986
29,77.18,48.6933
28,78.51,48.1022
27,79.79,47.2446
26,81.2,46.4677
25,82.71,45.544
24,84.11,44.615
23,85.55,43.768
22,86.91,42.7484
21,88.17,41.9333
20,89.7,40.5833
19,91.18,39.1446
18,92.45,38.0254
17,93.67,36.5146
16,94.76,35.125
15,95.78,33.8909
14,96.72,32.3077
13,97.46,30.6735
12,97.97,29.3333
11,98.57,27.5
10,99.12,25.3889
9,99.33,24.3636
8,99.56,22.6
7,99.74,20.5714
6,99.84,18.5001
5,99.9,17.25
4,99.95,14
3,99.97,12
2,99.98,10
1,99.98,10
0,100,0
english,cume,0
100,0,99
99,0,99
98,0.03,94.75
97,0.12,92.6
96,0.29,90.8333
95,0.57,89.4091
94,1.01,88
93,1.6,86.6415
92,2.41,85.1897
91,3.41,83.8209
90,4.65,82.4651
89,6.01,81.1915
88,7.48,80.2543
87,8.85,79.0412
86,10.31,78.314
85,11.89,77.3008
84,13.47,76.5083
83,15.04,75.75
82,16.58,74.8137
81,18.06,74.251
80,19.57,73.497
79,21.05,72.7656
78,22.55,72.2161
77,23.96,71.5341
76,25.31,70.8561
75,26.71,70.3649
74,28.06,69.8442
73,29.35,69.196
72,30.67,68.6858
71,31.93,68.2601
70,33.25,67.7135
69,34.55,67.0365
68,35.75,66.639
67,36.91,66.2684
66,38.03,65.8634
65,39.17,65.3073
64,40.26,64.8526
63,41.37,64.4968
62,42.36,64.1795
61,43.37,63.775
60,44.42,63.25
59,45.56,62.7915
58,46.61,62.4495
57,47.68,62.101
56,48.82,61.5829
55,49.83,61.0754
54,50.96,60.6632
53,51.99,60.3093
52,52.95,59.9698
51,54.01,59.4372
50,54.97,58.9679
49,55.96,58.6143
48,57.02,58.2357
47,58.05,57.8141
46,59.02,57.3266
45,60.07,56.8479
44,61.21,56.4144
43,62.19,56.0418
42,63.31,55.4326
41,64.44,54.875
40,65.46,54.5208
39,66.53,54.1493
38,67.66,53.5954
37,68.9,52.9146
36,70.06,52.4431
35,71.13,52.0081
34,72.3,51.2675
33,73.48,50.6681
32,74.71,50.131
31,75.98,49.3446
30,77.2,48.6844
29,78.47,48.12
28,79.72,47.295
27,81.03,46.5522
26,82.27,45.896
25,83.58,44.8984
24,84.9,44.1925
23,86.27,43.192
22,87.67,42.2704
21,89.01,41.1333
20,90.34,40.0985
19,91.8,38.5763
18,93.14,37.0435
17,94.41,35.6719
16,95.48,34.2727
15,96.54,32.5846
14,97.47,30.6531
13,98.24,28.5263
12,98.81,26.6452
11,99.22,24.8636
10,99.51,22.9333
9,99.75,20.4286
8,99.87,18
7,99.93,16
6,99.96,13
5,99.98,10
4,99.98,10
3,99.98,10
2,99.99,8
1,99.99,8
0,100,0
geography,cume,0
100,0,99
99,0,99
98,0.03,94.75
97,0.03,94.75
96,0.14,92.4
95,0.14,92.4
94,0.44,90
93,0.44,90
92,1.05,87.9
91,1.05,87.9
90,2.04,85.8276
89,2.04,85.8276
88,3.78,83.2687
87,3.78,83.2687
86,5.84,81.3723
85,5.84,81.3723
84,8.45,79.4536
83,8.45,79.4536
82,11.6,77.5188
81,11.6,77.5188
80,15.21,75.6286
79,15.21,75.6286
78,19.06,73.7988
77,19.06,73.7988
76,23.15,71.9943
75,23.15,71.9943
74,27.59,70.0561
73,27.59,70.0561
72,32.06,68.2162
71,32.06,68.2162
70,36.79,66.3067
69,36.79,66.3067
68,41.08,64.5897
67,41.08,64.5897
66,45.21,62.9055
65,45.21,62.9055
64,49.77,61.1055
63,49.77,61.1055
62,53.86,59.5126
61,53.86,59.5126
60,58.26,57.7085
59,58.26,57.7085
58,62.21,56.0342
57,62.21,56.0342
56,66.3,54.2292
55,66.3,54.2292
54,70.29,52.3496
53,70.29,52.3496
52,74.23,50.3406
51,74.23,50.3406
50,77.7,48.4622
49,77.7,48.4622
48,80.98,46.5771
47,80.98,46.5771
46,84,44.6738
45,84,44.6738
44,86.69,42.8868
43,86.69,42.8868
42,89.15,41
41,89.15,41
40,91.36,38.9492
39,91.36,38.9492
38,93.2,36.9709
37,93.2,36.9709
36,94.82,35.0312
35,94.82,35.0312
34,96.06,33.3818
33,96.06,33.3818
32,97.09,31.5526
31,97.09,31.5526
30,97.9,29.5926
29,97.9,29.5926
28,98.5,27.7692
27,98.5,27.7692
26,98.99,26.0645
25,98.99,26.0645
24,99.28,24.5909
23,99.28,24.5909
22,99.52,22.8667
21,99.52,22.8667
20,99.73,20.7142
19,99.73,20.7142
18,99.87,18
17,99.87,18
16,99.94,15
15,99.94,15
14,99.97,12
13,99.97,12
12,99.98,10
11,99.98,10
10,99.99,8
9,99.99,8
8,99.99,8
7,99.99,8
6,99.99,8
5,99.99,8
4,99.99,8
3,99.99,8
2,99.99,8
1,99.99,8
0,100,0
history,cume,0
100,0,99
99,0.02,96
98,0.12,92.6
97,0.21,91.625
96,0.37,90.3889
95,0.71,88.8571
94,1.26,87.375
93,1.94,86
92,2.69,84.7792
91,3.81,83.2239
90,5.11,82.1085
89,6.56,80.7861
88,8.23,79.6804
87,10.01,78.4589
86,12.01,77.2105
85,14.24,76.1875
84,16.54,74.8289
83,18.96,73.858
82,21.6,72.5641
81,24.21,71.392
80,26.78,70.3403
79,29.57,69.0854
78,32.22,68.1622
77,34.84,66.9297
76,37.4,66.1118
75,39.89,64.9712
74,42.37,64.1763
73,44.84,63.04
72,47.26,62.2378
71,49.73,61.1256
70,51.81,60.3711
