university,subject,year,chinese,english,mathA,mathB,physics,chemistry,biology,history,geography,citizen,average
世新大學,中國文學系,100,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1.5,66.5778
世新大學,企業管理學系,100,1.5,2,NULL,1.5,NULL,NULL,NULL,NULL,NULL,NULL,56.37
世新大學,傳播管理學系,100,1,2,NULL,2,NULL,NULL,NULL,NULL,NULL,1,56.6
世新大學,公共關係暨廣告學系,100,2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,60.64
世新大學,口語傳播學系,100,2,1.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,60.2222
世新大學,圖文傳播暨數位出版學系,100,2,2,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,57.2
世新大學,廣播電視電影學系廣播組,100,2,2,NULL,NULL,NULL,NULL,NULL,NULL,1,1.5,64.1846
世新大學,廣播電視電影學系電影組,100,2,2,NULL,NULL,NULL,NULL,NULL,NULL,1,1.5,64.3385
世新大學,廣播電視電影學系電視組,100,2,2,NULL,NULL,NULL,NULL,NULL,NULL,1,1.5,64.7615
世新大學,新聞學系,100,2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.5,62.7364
世新大學,日本語文學系,100,2,2,NULL,NULL,NULL,NULL,NULL,NULL,1,1.5,60.7538
世新大學,法律學系,100,1,1,NULL,1,NULL,NULL,NULL,NULL,1,1,59.34
世新大學,社會心理學系,100,2,2,NULL,2,NULL,NULL,NULL,NULL,NULL,1,55.5143
世新大學,經濟學系,100,1.5,2,NULL,2,NULL,NULL,NULL,NULL,1,1,54.4267
世新大學,英語學系,100,2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,60.8
世新大學,觀光學系餐旅經營管理組,100,2,2,NULL,1.5,NULL,NULL,NULL,NULL,NULL,NULL,56.4364
世新大學,觀光系觀光規劃暨資源管理組,100,2,2,NULL,1.5,NULL,NULL,NULL,NULL,NULL,NULL,53.6545
世新大學,觀光系旅遊暨休閒事業管理組,100,2,2,NULL,1.5,NULL,NULL,NULL,NULL,NULL,NULL,55.2
世新大學,財務金融學系,100,1.5,2,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,56.2455
世新大學,資訊傳播學系,100,1,1.5,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,59.6
世新大學,資訊管理學系網路科技組,100,2,1.75,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,54.8087
世新大學,資訊管理學系資訊科技組,100,2,1.75,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,52.9217
世新大學,資訊管理學系資訊管理組,100,2,1.75,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,53.9043
世新大學,數位多媒體設計系動畫設計組,100,2,2,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,61.08
世新大學,數位多媒體設計系遊戲設計組,100,1,2,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,59.98
